datetime,predicted_demand_kw,actual_demand_kw,appliance_name,appliance_power_kw,delay_count,max_delay,decision,forced_run,missed_deadline,baseline_cost,scheduled_cost,reward
2010-04-24 21:00:00,1.6587875,3.1433334,none,0.0,0,0,no_action,False,False,1.6587875,1.6587875,0.0
2010-04-24 22:00:00,1.8929276,3.0312,none,0.0,0,0,no_action,False,False,1.8929276,1.8929276,0.0
2010-04-24 23:00:00,1.7743952,1.7442,none,0.0,0,0,no_action,False,False,1.7743952,1.7743952,0.0
2010-04-25 00:00:00,1.6664546,1.6366333,none,0.0,0,0,no_action,False,False,1.6664546,1.6664546,0.0
2010-04-25 01:00:00,1.582145,2.7611334,none,0.0,0,0,no_action,False,False,1.582145,1.582145,0.0
2010-04-25 02:00:00,1.6095924,1.9335333,none,0.0,0,0,no_action,False,False,1.6095924,1.6095924,0.0
2010-04-25 03:00:00,1.2492769,1.6507334,none,0.0,0,0,no_action,False,False,1.2492769,1.2492769,0.0
2010-04-25 04:00:00,1.2162098,1.866,none,0.0,0,0,no_action,False,False,1.2162098,1.2162098,0.0
2010-04-25 05:00:00,1.5134825,1.7733667,none,0.0,0,0,no_action,False,False,1.5134825,1.5134825,0.0
2010-04-25 06:00:00,1.2855029,0.42626667,none,0.0,0,0,no_action,False,False,1.2855029,1.2855029,0.0
2010-04-25 07:00:00,0.506765,0.41663334,none,0.0,0,0,no_action,False,False,0.506765,0.506765,0.0
2010-04-25 08:00:00,0.55454063,0.42106667,water_heater,0.8,0,1,run_now,False,False,1.35454063,1.35454063,0.8
2010-04-25 09:00:00,0.62500095,0.42003334,none,0.0,0,0,no_action,False,False,0.62500095,0.62500095,0.0
2010-04-25 10:00:00,0.7606385,1.9056667,none,0.0,0,0,no_action,False,False,0.7606385,0.7606385,0.0
2010-04-25 11:00:00,1.3807217,1.8239334,none,0.0,0,0,no_action,False,False,1.3807217,1.3807217,0.0
2010-04-25 12:00:00,1.7525845,1.9839667,washing_machine,1.2,0,2,delay,False,False,2.9525845,1.7525845,0.75
2010-04-25 13:00:00,1.7691249,1.9141333,washing_machine,1.2,1,2,delay,False,False,2.9691248999999997,1.7691249,0.5999999999999996
2010-04-25 14:00:00,1.6579156,0.7066,washing_machine,1.2,2,2,run_now,True,False,2.8579156,2.8579156,0.0
2010-04-25 15:00:00,0.74877715,0.42853335,washing_machine,1.2,0,2,delay,False,False,1.94877715,0.74877715,0.25
2010-04-25 16:00:00,0.6298231,0.44393334,washing_machine,1.2,1,2,run_now,False,False,1.8298231,1.8298231,0.8
2010-04-25 17:00:00,0.5859884,0.3283,none,0.0,0,0,no_action,False,False,0.5859884,0.5859884,0.0
2010-04-25 18:00:00,0.5272032,0.38276666,none,0.0,0,0,no_action,False,False,0.5272032,0.5272032,0.0
2010-04-25 19:00:00,0.513446,0.43536666,none,0.0,0,0,no_action,False,False,0.513446,0.513446,0.0
2010-04-25 20:00:00,0.5855986,0.36833334,none,0.0,0,0,no_action,False,False,0.5855986,0.5855986,0.0
2010-04-25 21:00:00,0.6154095,0.36783335,dishwasher,1.0,0,3,run_now,False,False,1.6154095000000002,1.6154095000000002,0.8
2010-04-25 22:00:00,0.5917414,0.9214333,none,0.0,0,0,no_action,False,False,0.5917414,0.5917414,0.0
2010-04-25 23:00:00,0.54420555,0.39616665,none,0.0,0,0,no_action,False,False,0.54420555,0.54420555,0.0
2010-04-26 00:00:00,0.383094,0.4195,none,0.0,0,0,no_action,False,False,0.383094,0.383094,0.0
2010-04-26 01:00:00,0.4045695,0.3576,none,0.0,0,0,no_action,False,False,0.4045695,0.4045695,0.0
2010-04-26 02:00:00,0.47057438,0.3525,none,0.0,0,0,no_action,False,False,0.47057438,0.47057438,0.0
2010-04-26 03:00:00,0.46804762,0.36146668,none,0.0,0,0,no_action,False,False,0.46804762,0.46804762,0.0
2010-04-26 04:00:00,0.46179676,0.39893332,none,0.0,0,0,no_action,False,False,0.46179676,0.46179676,0.0
2010-04-26 05:00:00,0.42560536,0.3567,none,0.0,0,0,no_action,False,False,0.42560536,0.42560536,0.0
2010-04-26 06:00:00,0.5184318,0.35583332,water_heater,0.8,0,1,run_now,False,False,1.3184318,1.3184318,0.8
2010-04-26 07:00:00,0.54064345,0.35833332,none,0.0,0,0,no_action,False,False,0.54064345,0.54064345,0.0
2010-04-26 08:00:00,0.5310893,1.1722333,washing_machine,1.2,0,2,run_now,False,False,1.7310892999999998,1.7310892999999998,0.8
2010-04-26 09:00:00,0.8211658,0.57556665,none,0.0,0,0,no_action,False,False,0.8211658,0.8211658,0.0
2010-04-26 10:00:00,0.56397957,0.399,washing_machine,1.2,0,2,run_now,False,False,1.76397957,1.76397957,0.8
2010-04-26 11:00:00,0.4862455,0.5157667,none,0.0,0,0,no_action,False,False,0.4862455,0.4862455,0.0
2010-04-26 12:00:00,0.56840646,0.41466665,none,0.0,0,0,no_action,False,False,0.56840646,0.56840646,0.0
2010-04-26 13:00:00,0.44735175,0.5905667,washing_machine,1.2,0,2,delay,False,False,1.64735175,0.44735175,0.25
2010-04-26 14:00:00,0.61620075,0.42476666,washing_machine,1.2,1,2,run_now,False,False,1.81620075,1.81620075,0.8
2010-04-26 15:00:00,0.56279606,1.7113667,washing_machine,1.2,0,2,delay,False,False,1.7627960599999999,0.56279606,0.24999999999999978
2010-04-26 16:00:00,1.1191438,0.9776,washing_machine,1.2,1,2,delay,False,False,2.3191438,1.1191438,0.5999999999999999
2010-04-26 17:00:00,0.5324111,0.376,washing_machine,1.2,2,2,run_now,True,False,1.7324111,1.7324111,0.5
2010-04-26 18:00:00,0.5630948,0.48513332,none,0.0,0,0,no_action,False,False,0.5630948,0.5630948,0.0
2010-04-26 19:00:00,0.65512407,1.4830333,dishwasher,1.0,0,3,run_now,False,False,1.6551240699999998,1.6551240699999998,0.8
2010-04-26 20:00:00,1.0285401,1.4643,dishwasher,1.0,0,3,delay,False,False,2.0285401,1.0285401,0.5499999999999998
2010-04-26 21:00:00,1.0227635,1.4257667,dishwasher,1.0,1,3,delay,False,False,2.0227635,1.0227635,0.39999999999999997
2010-04-26 22:00:00,0.91263574,2.1843333,dishwasher,1.0,2,3,run_now,False,False,1.91263574,1.91263574,0.8
2010-04-26 23:00:00,1.420496,0.8843,none,0.0,0,0,no_action,False,False,1.420496,1.420496,0.0
2010-04-27 00:00:00,0.44498664,0.90566665,none,0.0,0,0,no_action,False,False,0.44498664,0.44498664,0.0
2010-04-27 01:00:00,0.5497983,0.84493333,none,0.0,0,0,no_action,False,False,0.5497983,0.5497983,0.0
2010-04-27 02:00:00,0.66833323,0.8372667,none,0.0,0,0,no_action,False,False,0.66833323,0.66833323,0.0
2010-04-27 03:00:00,0.66380644,0.7849333,none,0.0,0,0,no_action,False,False,0.66380644,0.66380644,0.0
2010-04-27 04:00:00,0.666528,0.8844333,none,0.0,0,0,no_action,False,False,0.666528,0.666528,0.0
2010-04-27 05:00:00,0.6977228,0.8395,none,0.0,0,0,no_action,False,False,0.6977228,0.6977228,0.0
2010-04-27 06:00:00,1.093286,0.8296667,none,0.0,0,0,no_action,False,False,1.093286,1.093286,0.0
2010-04-27 07:00:00,1.4936239,0.805,water_heater,0.8,0,1,delay,False,False,2.2936239,1.4936239,0.35000000000000003
2010-04-27 08:00:00,1.3854052,2.2631667,water_heater,0.8,1,1,run_now,True,False,2.1854052,2.1854052,0.0
2010-04-27 09:00:00,1.6974523,1.5056666,washing_machine,1.2,0,2,delay,False,False,2.8974523,1.6974523,0.75
2010-04-27 10:00:00,1.319412,1.4813,washing_machine,1.2,1,2,delay,False,False,2.519412,1.319412,0.5999999999999999
2010-04-27 11:00:00,1.3010461,1.4488667,washing_machine,1.2,2,2,run_now,True,False,2.5010461,2.5010461,0.0
2010-04-27 12:00:00,1.1330618,1.5308334,washing_machine,1.2,0,2,delay,False,False,2.3330618,1.1330618,0.75
2010-04-27 13:00:00,1.0151845,1.0180334,washing_machine,1.2,1,2,delay,False,False,2.2151845,1.0151845,0.5999999999999999
2010-04-27 14:00:00,0.6109631,0.5066,washing_machine,1.2,2,2,run_now,True,False,1.8109631,1.8109631,0.5
2010-04-27 15:00:00,0.4353069,0.44523335,none,0.0,0,0,no_action,False,False,0.4353069,0.4353069,0.0
